geo_id,area_name,year,total_population,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34,pop_25_34_bach_plus,pop_45_64_bach_plus
Geography,Geographic Area Name,2013,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Population 25 years and over!!Less than 9th grade,Total!!Estimate!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Estimate!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!Population 25 to 34 years!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher
0400000US36,New York,2013,1984974,13211060,6.8,27.1,14.3,88.4,2576903,37.1
0500000US36001,"Albany County, New York",2013,42125,203432,2.5,25.9,18.4,93.9,36022,40.9
0500000US36003,"Allegany County, New York",2013,7722,30571,3.5,40.5,9.5,88.2,5024,21.2
0500000US36005,"Bronx County, New York",2013,163111,866898,15.2,27.5,6.4,76.8,185015,19.4
0500000US36007,"Broome County, New York",2013,26640,132766,2.9,33.2,11.7,92.0,21508,28.7
0500000US36009,"Cattaraugus County, New York",2013,7634,53601,4.3,41.4,8.0,90.2,9187,20.7
0500000US36011,"Cayuga County, New York",2013,7086,55715,3.1,35.2,7.8,83.8,9878,21.6
0500000US36013,"Chautauqua County, New York",2013,15066,90209,4.1,35.0,9.3,89.2,15236,23.9
0500000US36015,"Chemung County, New York",2013,8255,60947,2.2,36.0,9.8,87.4,11046,22.8
0500000US36017,"Chenango County, New York",2013,3903,35099,3.4,39.9,7.5,88.9,5952,19.8
0500000US36019,"Clinton County, New York",2013,10843,55487,5.7,36.1,9.9,87.6,10248,26.2
0500000US36021,"Columbia County, New York",2013,4931,45370,3.3,30.2,13.6,86.1,7466,29.4
0500000US36023,"Cortland County, New York",2013,8720,30386,2.6,35.5,9.8,93.1,5525,26.1
0500000US36025,"Delaware County, New York",2013,4895,33555,3.3,38.1,8.4,87.3,4920,20.8
0500000US36027,"Dutchess County, New York",2013,32968,200358,3.6,27.7,14.9,90.4,38300,36.0
0500000US36029,"Erie County, New York",2013,96288,627301,3.2,28.5,13.8,92.2,109308,35.6
0500000US36031,"Essex County, New York",2013,2992,28929,3.9,34.4,10.2,88.2,4823,22.1
0500000US36033,"Franklin County, New York",2013,5160,36057,6.0,37.7,7.8,83.3,6979,17.2
0500000US36035,"Fulton County, New York",2013,4425,38817,3.9,39.3,6.5,84.7,7007,16.3
0500000US36037,"Genesee County, New York",2013,5519,41424,2.9,36.9,8.1,92.0,7410,22.2
0500000US36039,"Greene County, New York",2013,4809,35041,4.3,37.5,8.9,82.2,6041,21.8
0500000US36041,"Hamilton County, New York",2013,263,3734,4.8,34.7,11.1,87.7,499,23.4
0500000US36043,"Herkimer County, New York",2013,5766,44667,3.5,35.5,8.4,92.3,7604,21.8
0500000US36045,"Jefferson County, New York",2013,14993,73193,2.6,34.9,8.1,92.5,14547,22.0
0500000US36047,"Kings County, New York",2013,259585,1680599,10.8,27.3,11.9,86.2,347909,35.1
0500000US36049,"Lewis County, New York",2013,2200,18365,3.7,46.6,5.8,90.0,3205,16.5
0500000US36051,"Livingston County, New York",2013,9767,42503,3.1,34.2,10.3,90.4,7935,28.7
0500000US36053,"Madison County, New York",2013,9947,47360,2.9,34.0,11.1,91.8,8310,26.1
0500000US36055,"Monroe County, New York",2013,83847,496679,3.4,25.0,15.8,91.3,90417,41.4
0500000US36057,"Montgomery County, New York",2013,4148,34278,5.6,36.6,6.1,83.6,6092,19.4
0500000US36059,"Nassau County, New York",2013,115947,920469,4.9,24.7,18.6,90.3,173229,47.4
0500000US36061,"New York County, New York",2013,169867,1198681,7.7,12.7,27.9,93.8,237744,63.1
0500000US36063,"Niagara County, New York",2013,20148,149792,2.7,35.9,9.2,93.3,26085,27.4
0500000US36065,"Oneida County, New York",2013,23457,160002,5.2,32.7,9.0,87.7,28198,23.3
0500000US36067,"Onondaga County, New York",2013,51547,310079,3.0,26.9,14.5,91.0,55884,36.3
0500000US36069,"Ontario County, New York",2013,10058,74457,2.6,28.5,13.3,92.3,13303,41.7
0500000US36071,"Orange County, New York",2013,37846,235732,4.3,29.3,11.9,85.9,50406,33.0
0500000US36073,"Orleans County, New York",2013,4005,29463,4.8,40.5,5.9,84.2,5420,15.4
0500000US36075,"Oswego County, New York",2013,14857,79391,3.5,40.8,7.3,89.4,14920,18.2
0500000US36077,"Otsego County, New York",2013,10611,40241,3.2,34.2,11.7,92.4,6459,26.9
0500000US36079,"Putnam County, New York",2013,7698,69086,3.2,26.1,16.8,93.7,13949,44.3
0500000US36081,"Queens County, New York",2013,214237,1576805,10.7,27.2,10.8,87.1,327631,33.8
0500000US36083,"Rensselaer County, New York",2013,18266,107932,3.1,29.9,12.4,92.0,19845,32.2
0500000US36085,"Richmond County, New York",2013,44327,317916,4.9,32.2,11.9,92.0,64440,33.5
0500000US36087,"Rockland County, New York",2013,28510,198598,5.9,23.9,17.9,84.7,37658,45.0
0500000US36089,"St. Lawrence County, New York",2013,16978,71537,4.6,36.6,10.1,88.3,13013,22.9
0500000US36091,"Saratoga County, New York",2013,18015,154093,1.9,26.2,15.4,95.1,31001,43.3
0500000US36093,"Schenectady County, New York",2013,14526,105317,3.3,31.0,13.1,92.0,19411,32.6
0500000US36095,"Schoharie County, New York",2013,3703,22346,3.2,37.7,8.6,93.1,3833,19.3
0500000US36097,"Schuyler County, New York",2013,1508,13170,2.7,39.2,8.2,94.8,2272,16.3
0500000US36099,"Seneca County, New York",2013,3261,24817,4.6,34.2,7.8,79.8,4291,22.1
0500000US36101,"Steuben County, New York",2013,7856,68295,3.8,36.0,9.7,91.0,11983,24.2
0500000US36103,"Suffolk County, New York",2013,133528,1011777,4.6,30.0,14.8,89.3,205634,36.5
0500000US36105,"Sullivan County, New York",2013,6605,53473,5.6,33.7,9.0,81.9,9694,20.5
0500000US36107,"Tioga County, New York",2013,3807,35344,2.0,36.7,10.3,93.0,5997,24.5
0500000US36109,"Tompkins County, New York",2013,27600,58238,1.6,20.1,28.6,94.2,10330,48.2
0500000US36111,"Ulster County, New York",2013,18433,127926,3.4,29.4,14.1,88.9,23400,31.7
0500000US36113,"Warren County, New York",2013,5118,47333,2.7,33.8,12.4,89.0,7890,33.7
0500000US36115,"Washington County, New York",2013,5445,44745,3.8,43.3,7.4,87.5,8450,17.7
0500000US36117,"Wayne County, New York",2013,7309,64240,3.5,36.1,7.6,87.9,11796,24.2
0500000US36119,"Westchester County, New York",2013,80091,649906,6.9,21.6,22.3,86.5,130984,50.2
0500000US36121,"Wyoming County, New York",2013,3414,30059,3.7,39.8,5.5,86.2,5840,15.3
0500000US36123,"Yates County, New York",2013,2788,16459,7.3,35.9,11.7,76.1,2500,17.2
Geography,Geographic Area Name,2014,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Population 25 years and over!!Less than 9th grade,Total!!Estimate!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Estimate!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!Population 25 to 34 years!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher
0400000US36,New York,2014,1992364,13329734,6.8,26.9,14.6,88.8,2550605,37.8
0500000US36001,"Albany County, New York",2014,43146,203703,2.4,26.5,18.6,94.4,35418,40.2
0500000US36003,"Allegany County, New York",2014,7658,30565,3.7,40.1,9.6,87.2,4921,20.3
0500000US36005,"Bronx County, New York",2014,165152,880909,15.0,27.7,6.5,77.8,184957,19.7
0500000US36007,"Broome County, New York",2014,27295,132029,2.8,33.0,11.7,91.4,21150,28.0
0500000US36009,"Cattaraugus County, New York",2014,7585,53522,4.2,41.2,7.7,88.9,8930,22.7
0500000US36011,"Cayuga County, New York",2014,7142,55677,3.0,34.8,8.4,84.7,9790,22.8
0500000US36013,"Chautauqua County, New York",2014,14848,90260,4.1,35.4,9.6,88.9,14746,23.4
0500000US36015,"Chemung County, New York",2014,8255,60887,2.2,35.4,10.3,89.0,10650,23.3
0500000US36017,"Chenango County, New York",2014,4004,35015,3.6,39.4,7.4,89.8,5788,20.4
0500000US36019,"Clinton County, New York",2014,10985,55509,5.3,35.5,10.4,88.8,9930,27.4
0500000US36021,"Columbia County, New York",2014,4824,45648,3.3,30.6,14.2,88.6,7074,28.5
0500000US36023,"Cortland County, New York",2014,8898,30346,2.9,36.5,9.5,94.2,5387,24.5
0500000US36025,"Delaware County, New York",2014,4982,33371,3.4,38.6,8.9,87.9,4725,24.3
0500000US36027,"Dutchess County, New York",2014,33387,201316,3.7,26.7,15.1,90.8,37048,37.7
0500000US36029,"Erie County, New York",2014,95964,630779,3.2,28.4,14.0,92.3,106758,35.9
0500000US36031,"Essex County, New York",2014,3038,29010,4.1,33.6,10.4,91.2,4869,22.1
0500000US36033,"Franklin County, New York",2014,5149,36039,5.1,36.6,8.6,83.6,6492,18.3
0500000US36035,"Fulton County, New York",2014,4426,38758,4.0,38.4,7.1,85.3,6731,16.0
0500000US36037,"Genesee County, New York",2014,5483,41569,2.9,37.7,7.8,93.4,7189,22.3
0500000US36039,"Greene County, New York",2014,4651,35181,4.3,37.2,8.5,85.8,5975,23.9
0500000US36041,"Hamilton County, New York",2014,298,3674,4.9,32.4,11.3,88.6,467,25.1
0500000US36043,"Herkimer County, New York",2014,5930,44563,3.9,34.4,8.6,92.2,7389,23.0
0500000US36045,"Jefferson County, New York",2014,15113,73749,2.7,34.1,8.7,92.7,14204,23.6
0500000US36047,"Kings County, New York",2014,257029,1709299,10.6,26.9,12.2,86.9,353417,36.1
0500000US36049,"Lewis County, New York",2014,2258,18449,3.2,45.6,6.2,89.4,3166,18.7
0500000US36051,"Livingston County, New York",2014,9885,42400,2.9,34.7,10.7,88.6,7469,27.7
0500000US36053,"Madison County, New York",2014,9894,47573,3.1,33.4,12.1,93.0,8071,27.4
0500000US36055,"Monroe County, New York",2014,83409,500461,3.4,24.8,15.9,91.4,88458,41.5
0500000US36057,"Montgomery County, New York",2014,4185,34299,5.0,35.9,6.5,81.1,6029,18.6
0500000US36059,"Nassau County, New York",2014,118253,927082,4.8,24.3,19.0,90.9,170589,48.8
0500000US36061,"New York County, New York",2014,166280,1214196,7.5,12.8,28.0,94.1,238476,63.7
0500000US36063,"Niagara County, New York",2014,20102,150038,2.8,35.6,9.4,93.3,25540,28.4
0500000US36065,"Oneida County, New York",2014,23419,160126,4.8,32.9,9.4,88.2,27431,24.9
0500000US36067,"Onondaga County, New York",2014,51413,311888,3.0,26.7,14.8,90.5,54640,37.4
0500000US36069,"Ontario County, New York",2014,10257,75190,2.9,28.7,13.9,91.6,12864,40.3
0500000US36071,"Orange County, New York",2014,38752,236432,4.3,29.4,11.8,86.7,49028,31.5
0500000US36073,"Orleans County, New York",2014,3935,29594,4.5,40.5,5.9,82.3,5212,14.9
0500000US36075,"Oswego County, New York",2014,14724,79858,3.7,40.2,7.6,89.5,14455,18.8
0500000US36077,"Otsego County, New York",2014,10822,40158,3.3,34.1,12.6,90.8,6165,28.2
0500000US36079,"Putnam County, New York",2014,7847,69427,3.4,26.5,16.6,93.7,13402,43.8
0500000US36081,"Queens County, New York",2014,213496,1598824,10.6,27.3,10.9,87.5,329043,34.4
0500000US36083,"Rensselaer County, New York",2014,17916,108705,2.7,29.7,12.2,92.3,19478,32.5
0500000US36085,"Richmond County, New York",2014,44313,320047,4.9,31.9,12.0,91.9,63552,34.3
0500000US36087,"Rockland County, New York",2014,29206,200440,5.9,22.9,18.2,84.6,37091,44.4
0500000US36089,"St. Lawrence County, New York",2014,16700,71897,4.7,35.9,10.8,87.6,12842,23.5
0500000US36091,"Saratoga County, New York",2014,18461,155438,1.6,25.7,15.9,95.1,30315,44.4
0500000US36093,"Schenectady County, New York",2014,14804,105576,3.3,31.0,13.8,92.3,19190,33.0
0500000US36095,"Schoharie County, New York",2014,3674,22282,2.7,38.7,8.0,92.7,3702,20.7
0500000US36097,"Schuyler County, New York",2014,1472,13229,3.0,38.7,8.5,93.0,2200,18.7
0500000US36099,"Seneca County, New York",2014,3232,24898,4.3,33.8,8.1,81.4,4030,22.8
0500000US36101,"Steuben County, New York",2014,8057,68326,3.7,36.9,10.1,92.3,11752,24.6
0500000US36103,"Suffolk County, New York",2014,136594,1018328,4.8,29.7,15.1,89.3,199709,38.1
0500000US36105,"Sullivan County, New York",2014,6642,53369,5.1,33.5,9.0,82.8,9362,20.9
0500000US36107,"Tioga County, New York",2014,3843,35296,2.3,35.8,9.9,93.2,5865,24.6
0500000US36109,"Tompkins County, New York",2014,28287,58536,1.6,19.4,29.1,95.7,10189,51.7
0500000US36111,"Ulster County, New York",2014,18462,128233,3.2,29.4,13.7,88.2,22640,33.3
0500000US36113,"Warren County, New York",2014,5246,47327,2.7,33.3,12.7,90.6,7642,31.9
0500000US36115,"Washington County, New York",2014,5429,44657,4.0,42.3,7.7,88.7,8253,19.4
0500000US36117,"Wayne County, New York",2014,7390,64316,3.5,36.8,8.5,89.5,11187,26.9
0500000US36119,"Westchester County, New York",2014,82168,654936,6.8,20.9,22.7,86.6,129569,50.7
0500000US36121,"Wyoming County, New York",2014,3499,29989,3.4,40.0,5.5,86.8,5566,16.9
0500000US36123,"Yates County, New York",2014,2796,16536,7.1,35.6,11.9,78.2,2428,18.6
Geography,Geographic Area Name,2015,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Population 25 years and over!!Less than 9th grade,Total!!Estimate!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Estimate!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!Population 25 to 34 years!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher
0400000US36,New York,2015,1985605,13435795,894391,3588894,1992047,2501678,2528797,976639
0500000US36001,"Albany County, New York",2015,44478,204024,4979,54012,37600,38299,35118,14438
0500000US36003,"Allegany County, New York",2015,7461,30568,1035,11837,3112,4327,4874,1021
0500000US36005,"Bronx County, New York",2015,165551,895181,134663,244763,59067,169310,184597,38114
0500000US36007,"Broome County, New York",2015,27733,131269,3632,42294,16026,20650,20505,5871
0500000US36009,"Cattaraugus County, New York",2015,7483,53408,2358,21869,3996,7430,8818,2081
0500000US36011,"Cayuga County, New York",2015,7209,55593,1483,18934,4909,7968,9408,2107
0500000US36013,"Chautauqua County, New York",2015,14424,90321,3519,32059,8612,12897,14432,3462
0500000US36015,"Chemung County, New York",2015,8155,60733,1388,21632,6495,9483,10430,2711
0500000US36017,"Chenango County, New York",2015,4003,34918,1249,13675,2773,4773,5649,1146
0500000US36019,"Clinton County, New York",2015,11432,55148,2973,19461,5640,8844,9886,2572
0500000US36021,"Columbia County, New York",2015,4816,45591,1475,14016,6766,5417,6922,2042
0500000US36023,"Cortland County, New York",2015,8734,30462,887,10580,3095,5095,5210,1323
0500000US36025,"Delaware County, New York",2015,5009,33253,1191,12856,2895,3672,4621,1098
0500000US36027,"Dutchess County, New York",2015,33531,202121,7273,54487,30527,30184,36074,13318
0500000US36029,"Erie County, New York",2015,94752,634345,19711,179855,90343,111139,104838,38985
0500000US36031,"Essex County, New York",2015,3102,28949,1051,9992,3109,3945,4615,1057
0500000US36033,"Franklin County, New York",2015,5129,35748,1724,12942,3119,6116,6301,1188
0500000US36035,"Fulton County, New York",2015,4344,38780,1467,14937,2910,5409,6636,1033
0500000US36037,"Genesee County, New York",2015,5455,41496,987,15451,3322,6301,6945,1564
0500000US36039,"Greene County, New York",2015,4500,35219,1126,12786,2960,4400,5711,1379
0500000US36041,"Hamilton County, New York",2015,466,3546,178,1146,378,347,350,98
0500000US36043,"Herkimer County, New York",2015,5823,44536,1413,15371,4146,6416,7217,1806
0500000US36045,"Jefferson County, New York",2015,15299,73898,1845,24726,6623,18468,13961,3494
0500000US36047,"Kings County, New York",2015,251964,1735647,178723,455076,221600,405295,358326,135972
0500000US36049,"Lewis County, New York",2015,2259,18500,560,8375,1200,2831,3133,723
0500000US36051,"Livingston County, New York",2015,9894,42546,1235,14352,4525,5965,7165,1902
0500000US36053,"Madison County, New York",2015,9857,47612,1475,16062,5458,6754,7874,2042
0500000US36055,"Monroe County, New York",2015,82330,504452,16392,126050,80448,91303,86969,36279
0500000US36057,"Montgomery County, New York",2015,4131,34275,1644,12561,2064,4882,5915,1002
0500000US36059,"Nassau County, New York",2015,120229,931785,43562,225825,178633,138020,167912,83685
0500000US36061,"New York County, New York",2015,161844,1229036,88770,154993,348515,346160,239798,153739
0500000US36063,"Niagara County, New York",2015,19730,150210,3997,52737,14530,23345,24739,7472
0500000US36065,"Oneida County, New York",2015,23311,160092,7513,53425,14986,24658,26782,6816
0500000US36067,"Onondaga County, New York",2015,50990,313724,9209,82150,47325,54459,53739,20723
0500000US36069,"Ontario County, New York",2015,10511,75472,1819,21391,10955,10284,12580,5097
0500000US36071,"Orange County, New York",2015,39554,237282,9477,69556,28265,36751,47828,15400
0500000US36073,"Orleans County, New York",2015,3940,29584,1306,11769,1728,4164,5006,649
0500000US36075,"Oswego County, New York",2015,14556,79996,3091,31920,5800,12432,13983,2557
0500000US36077,"Otsego County, New York",2015,10762,40102,1148,13822,5418,5330,5937,1687
0500000US36079,"Putnam County, New York",2015,8086,69527,2580,19011,11184,9325,12875,5527
0500000US36081,"Queens County, New York",2015,210593,1619173,173583,442208,179906,329154,329986,115195
0500000US36083,"Rensselaer County, New York",2015,17879,109306,2753,31735,13588,19205,19045,5988
0500000US36085,"Richmond County, New York",2015,43831,322287,15027,103017,40037,56161,62710,22671
0500000US36087,"Rockland County, New York",2015,29848,201901,11496,46380,36526,30975,36648,15832
0500000US36089,"St. Lawrence County, New York",2015,16725,72096,3041,26034,8166,11592,12582,3178
0500000US36091,"Saratoga County, New York",2015,18696,156862,2386,40553,25162,24862,29742,13516
0500000US36093,"Schenectady County, New York",2015,14871,105720,3880,31705,14926,18211,19139,6385
0500000US36095,"Schoharie County, New York",2015,3733,22149,760,8520,1855,2957,3577,811
0500000US36097,"Schuyler County, New York",2015,1470,13283,381,5161,1245,1732,2117,522
0500000US36099,"Seneca County, New York",2015,3051,24921,1062,8631,2072,3811,4049,935
0500000US36101,"Steuben County, New York",2015,8110,68314,2203,25668,6957,10193,11550,3052
0500000US36103,"Suffolk County, New York",2015,138167,1022970,47721,299525,156737,151151,194315,75224
0500000US36105,"Sullivan County, New York",2015,6651,53118,2161,18084,5245,7363,9047,1961
0500000US36107,"Tioga County, New York",2015,3863,35148,817,12625,3485,4977,5705,1436
0500000US36109,"Tompkins County, New York",2015,28400,59323,815,11756,16983,12909,10244,5645
0500000US36111,"Ulster County, New York",2015,18323,128759,3908,38900,17511,18709,22037,7031
0500000US36113,"Warren County, New York",2015,5292,47243,1283,15727,6223,6318,7480,2311
0500000US36115,"Washington County, New York",2015,5403,44741,1503,18605,3446,6614,8063,1661
0500000US36117,"Wayne County, New York",2015,7567,64078,2020,23724,5342,8887,10877,2924
0500000US36119,"Westchester County, New York",2015,83942,659258,45038,133756,152063,96140,128517,65772
0500000US36121,"Wyoming County, New York",2015,3544,29663,1144,12114,1615,4920,5238,886
0500000US36123,"Yates County, New York",2015,2809,16533,1301,5710,1900,1989,2450,523
Geography,Geographic Area Name,2012,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Less than 9th grade,Total!!Estimate!!High school graduate (includes equivalency),Total!!Estimate!!Graduate or professional degree,Total!!Estimate!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Bachelor's degree or higher
0400000US36,New York,2012,1979223,13101982,6.9,27.3,14.1,88.2,2619534,36.4
0500000US36001,"Albany County, New York",2012,41229,202976,2.6,25.8,18.5,93.7,37089,40.9
0500000US36003,"Allegany County, New York",2012,7776,30546,3.4,40.4,9.0,89.6,5150,20.7
0500000US36005,"Bronx County, New York",2012,160572,856624,15.5,27.3,6.3,76.0,187004,19.8
0500000US36007,"Broome County, New York",2012,25708,133976,3.2,32.8,11.9,91.7,22203,28.7
0500000US36009,"Cattaraugus County, New York",2012,7798,53632,4.3,41.6,7.9,90.4,9440,20.3
0500000US36011,"Cayuga County, New York",2012,7042,55679,3.4,35.6,7.6,84.5,10513,20.0
0500000US36013,"Chautauqua County, New York",2012,15291,89975,3.9,35.2,9.1,87.8,15591,22.6
0500000US36015,"Chemung County, New York",2012,8202,60801,2.5,36.1,9.1,85.9,11194,23.5
0500000US36017,"Chenango County, New York",2012,3836,35200,3.7,39.4,7.1,87.0,6114,16.2
0500000US36019,"Clinton County, New York",2012,10783,55424,5.8,36.5,9.8,88.4,10701,23.9
0500000US36021,"Columbia County, New York",2012,4859,45264,3.0,30.9,13.2,86.5,7687,29.4
0500000US36023,"Cortland County, New York",2012,8776,30373,2.7,35.1,9.8,93.5,5666,27.5
0500000US36025,"Delaware County, New York",2012,4890,33619,3.7,38.9,8.0,90.1,5141,18.0
0500000US36027,"Dutchess County, New York",2012,32524,199082,3.9,28.3,14.3,90.4,39743,34.5
0500000US36029,"Erie County, New York",2012,96272,624799,3.3,29.0,13.4,92.0,112648,35.4
